entry1,entry2,sim
белая ворона,изгой,1
белая ворона,коллектив,0
глазное яблоко,глаз,1
глазное яблоко,окулист,0
грудная клетка,череп,1
грудная клетка,вдох,0
кесарево сечение,биопсия,1
кесарево сечение,хирург,0
козел отпущения,жертва,1
козел отпущения,грех,0
коленная чашечка,сустав,1
коленная чашечка,воспаление,0
серый кардинал,руководитель,1
серый кардинал,интрига,0
сливки общества,элита,1
сливки общества,богатство,0
снежная баба,снеговик,1
снежная баба,зима,0
солнечный зайчик,блик,1
солнечный зайчик,зеркало,0
точка зрения,мнение,1
точка зрения,спор,0
туалетная вода,одеколон,1
туалетная вода,флакон,0
ушная раковина,ухо,1
ушная раковина,слух,0
черепная коробка,череп,1
черепная коробка,трепанация,0
черная дыра,звезда,1
черная дыра,гравитация,0
шведский стол,фуршет,1
шведский стол,отель,0
электрический стул,гильотина,1
электрический стул,приговор,0
юридическое лицо,организация,1
юридическое лицо,счет,0
детский сад,школа,1
детский сад,воспитатель,0
зеленый змий,пьянство,1
зеленый змий,алкоголик,0
золотой парашют,компенсация,1
золотой парашют,отставка,0
казачий круг,совет,1
казачий круг,станица,0
камень преткновения,проблема,1
камень преткновения,цель,0
однорукий бандит,банкомат,1
однорукий бандит,азарт,0
офисный планктон,клерк,1
офисный планктон,офис,0
очная ставка,допрос,1
очная ставка,свидетели,0
подзорная труба,телескоп,1
подзорная труба,увеличение,0
птичий базар,гнездо,1
птичий базар,птица,0
пушечное мясо,солдат,1
пушечное мясо,война,0
речной трамвай,катер,1
речной трамвай,река,0
сахарный песок,соль,1
сахарный песок,килограмм,0
северное сияние,радуга,1
северное сияние,север,0
мозговой штурм,обсуждение,1
мозговой штурм,проблема,0
мыльная опера,сериал,1
мыльная опера,телевизор,0
пояс шахида,бомба,1
пояс шахида,смертник,0
черное золото,нефть,1
черное золото,добыча,0
ценная бумага,акция,1
ценная бумага,акционер,0
коробка передач,двигатель,1
коробка передач,скорость,0
круглый стол,совещание,1
круглый стол,участник,0
анютины глазки,цветок,1
анютины глазки,клумба,0
дамоклов меч,угроза,1
дамоклов меч,страх,0
заворот кишок,аппендицит ,1
заворот кишок,операция,0
комендантский час,мораторий,1
комендантский час,ночь,0
скорая помощь,дпс,1
скорая помощь,фельдшер,0
воздушный замок,фантазия,1
воздушный замок,идеалист,0
воздушный змей,кайт,1
воздушный змей,небо,0
белое пятно,территория,1
белое пятно,карта,0
голубые фишки,облигация,1
голубые фишки,биржа,0
гусиные лапки,морщина,1
гусиные лапки,крем,0
дорожная карта,стратегия,1
дорожная карта,правительство,0
звездная болезнь,высокомерие,1
звездная болезнь,актер,0
словесный понос,болтовня,1
словесный понос,оратор,0
зеленый свет,разрешение,1
зеленый свет,заявка,0
земной шар,планета,1
земной шар,орбита,0
золотой дождь,богатство,1
золотой дождь,наследник,0
золотое сечение,пропорция,1
золотое сечение,чертеж,0
искра божья,талант,1
искра божья,искусство,0
канцелярская крыса,бюрократ,1
канцелярская крыса,кабинет,0
козырная карта,довод,1
козырная карта,оппонент,0
кровавая баня,кровопролитие,1
кровавая баня,жертва,0
лебединая песня,произведение,1
лебединая песня,автор,0
морской волк,моряк,1
морской волк,корабль,0
обратная связь,отзыв,1
обратная связь,клиент,0
подопытный кролик,пациент,1
подопытный кролик,эксперимент,0
полевая кухня,трейлер,1
полевая кухня,каша,0
полярный круг,параллель,1
полярный круг,мерзлота,0
приемный покой,стационар,1
приемный покой,перелом,0
пробный шар,попытка,1
пробный шар,осторожность,0
светская львица,бездельник,1
светская львица,бомонд,0
синий чулок,педант,1
синий чулок,библиотека,0
спусковой крючок,курок,1
спусковой крючок,выстрел,0
темная лошадка,кандидат,1
темная лошадка,выборы,0
черный ящик,автопилот,1
черный ящик,катастрофа,0
баловень судьбы,везунчик,1
баловень судьбы,удача,0
мешки под глазами,отек,1
мешки под глазами,бессонница,0
нож в спину,предательство,1
нож в спину,предатель,0
оборотень в погонах,майор,1
оборотень в погонах,коррупция,0
парад планет,затмение,1
парад планет,астрономия,0
подушка безопасности,резерв,1
подушка безопасности,банкротство,0
роза ветров,схема,1
роза ветров,ветер,0
скелет в шкафу,тайна,1
скелет в шкафу,семья,0
часть речи,падеж,1
часть речи,грамматика,0
пятая колонна,агентура,1
пятая колонна,политика,0
